"","Clinic","Visits","temp","Prec","prec"
"1","C",0,81.5336877328809,84.4,0
"2","J",1,80.997253523441,84.4,0
"3","D",2,81.8178823853377,84.4,0
"4","G",0,80.8831557354424,83.9,0
"5","A",0,76.1950078906026,83.9,0
"6","H",0,76.0518369038124,83.9,0
"7","B",1,77.8032243286259,83.9,0
"8","E",0,81.1456904835068,83.9,0
"9","G",0,77.1558903115336,83.9,0
"10","C",0,77.4825868947897,83.9,0
"11","J",1,77.1092931408901,83.9,0
"12","I",0,76.4441087874118,85,0
"13","D",2,77.5521167275961,85,0
"14","J",1,76.5057038070168,85,0
"15","A",0,76.9348580201156,85,0
"16","A",0,79.6785114466678,85,0
"17","I",0,79.9527999284677,85,0
"18","H",0,79.7951730488334,85,0
"19","G",0,77.2190179313999,85,0
"20","D",2,80.6580812654924,85,0
"21","C",0,78.2877070570365,83.4,0
"22","D",2,77.989207874937,83.4,0
"23","E",0,78.0551197903231,83.4,0
"24","H",0,77.1763939402997,83.4,0
"25","F",0,76.5281624304596,83.4,0
"26","G",0,80.790699200565,82.5,597
"27","J",1,79.661648631189,82.5,414
"28","E",0,77.1260202058125,82.5,510.5
"29","C",0,81.1555111779366,82.5,358.5
"30","B",1,81.305227776384,82.5,76
"31","F",0,79.6164891244844,82.5,0
"32","F",0,76.6809729516506,82.5,67
"33","F",0,80.9056545238476,82.5,141.5
"34","H",0,76.491172526218,82.5,0
"35","B",1,77.3497152635362,82.5,363
"36","D",2,77.7898158796132,82.5,508.5
"37","G",0,79.7234058349859,82.5,565
"38","A",0,76.4299678650685,85,216
"39","C",0,77.8816232517827,85,601
"40","I",0,77.0975545255467,85,188
"41","H",0,79.0722376902122,85,41
"42","A",0,79.3988881018013,85,324
"43","E",0,80.606820508698,85,0
"44","J",1,77.0269406239502,85,273
"45","J",1,78.8287456599064,85,0
"46","C",0,80.1334373545833,85,301
"47","H",0,75.308868465852,85,180
"48","G",0,77.8024632350542,85,62
"49","G",0,76.0059167592786,85,429
"50","I",0,75.8866940347012,85,0
"51","B",1,80.3143337350339,83.6,160
"52","F",0,75.7769217343535,83.6,403.8
"53","D",2,76.8575618866831,83.6,206.6
"54","D",2,79.6529714062344,83.6,0
"55","I",0,79.1565138539299,83.6,36.4
"56","J",1,75.1290570026264,83.6,0
"57","B",1,76.7179407178424,83.6,0
"58","F",0,81.4201495909598,83.6,253.6
"59","A",0,80.8581893100869,83.6,85.4
"60","H",0,80.8666335157119,83.6,0
"61","E",0,80.4651171804871,83.6,465.4
"62","A",0,75.715699357586,85.6,68.4
"63","C",0,76.341712213261,85.6,0
"64","B",1,81.8480053901672,85.6,494.4
"65","D",2,81.5939217544161,85.6,0
"66","E",0,78.2081674937624,85.6,455.8
"67","I",0,81.0369218712673,85.6,99.4
